Parking ID,Car Park Name (English),Car Park Name (Traditional Chinese),Car Park Name (Simplified Chinese),Basic Information,Parking Vacancy Data
TDC129P3,Choi Ying Estate Car Park,彩盈邨車場,彩盈邨车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc129p3.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc129p3.json
TDC129P4,On Kay Court Car Park,安基苑車場,安基苑车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc129p4.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc129p4.json
TDC130P1,Lower ngau tau kok estate Car Park,牛頭角下邨車場,牛头角下邨车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc130p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc130p1.json
TDC130P2,Wo Lok Estate CPA,和樂邨 A 場,和乐邨 A 场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc130p2.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc130p2.json
TDC130P3,Wo Lok Estate CPB,和樂邨 B 場,和乐邨 B 场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc130p3.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc130p3.json
TDC132P1,Yan Chai Hospital Visitor Carpark,仁濟醫院訪客停車場,仁济医院访客停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc132p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc132p1.json
TDC134P1,Tuen Mun Hospital Main Block Visitor Carpark,屯門醫院主座訪客停車場,屯门医院主座访客停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc134p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc134p1.json
TDC136P1,Yung Ming Court Car Park,雍明苑停車場,雍明苑停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc136p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc136p1.json
TDC139P1,Hong King Garden Parking,屯門康景花園停車場,屯门康景花园停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc139p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc139p1.json
TDC140P1,Hung Hom Estate Phase II Carpark,紅磡邨二期停車場,红磡邨二期停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc140p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc140p1.json
TDC141P1,Tak Long Estate Carpark A,德朗邨A停車場,德朗邨A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc141p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc141p1.json
TDC141P2,Tak Long Estate Carpark B,德朗邨B停車場,德朗邨B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc141p2.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc141p2.json
TDC142P1,Yan Tin Estate Carpark,欣田邨停車場,欣田邨停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc142p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc142p1.json
